seqnames	start	end	width	strand	len	wbps_gene_id	gene_name	chip_signal_mean	chip_signal_max	log_chip_signal_mean	log_chip_signal_max	IDR_mean	IDR_max	IDR_value	IDR_nlogq	IDR_logTEN_max	IDR_logTEN_mean	IDR_logTEN_value	baseMean	log2FoldChange	lfcSE	pvalue	padj	class
WBGene00003958	chrIV	9158820	9160019	1200	-	1200	WBGene00003958	pcp-3	56.071505	85.644211	7.29955828054082	7.38803108347292	75.861344	88.229973	71.924476567633	2.26591024367641	1.94561614632463	1.88002053262742	1.85687670998376	1518.31822347896	10.177197299001	0.667822343269259	1.23527997198142e-51	1.38450179259677e-49	classA
WBGene00022549	chrV	8728400	8729599	1200	+	1200	WBGene00022549	ZC196.5	6.832181	19.345001	6.75887503234125	6.66109957946856	NA	NA	NA	NA	NA	NA	NA	174.953685347599	10.0970759136782	1.35150693668633	2.45882893177151e-16	5.0819252547699e-15	classC
WBGene00003091	chrV	10281275	10282474	1200	-	1200	WBGene00003091	lys-2	1.473906	22.343494	6.6856689030069	6.70322372055515	NA	NA	NA	NA	NA	NA	NA	697.076721699221	10.0932563738816	0.757117278191629	4.82963843826334e-40	3.28918501139226e-38	classC
WBGene00015389	chrX	5400385	5401584	1200	-	1200	WBGene00015389	scav-1	62.617314	140.732239	7.35829121400964	7.79824257178046	116.53816	140.732239	125.07049489844	3.57760667736254	2.14839359719293	2.06646815681098	2.0971548683335	3494.48334337383	10.0735982024886	0.399801999449847	1.19195074358492e-139	5.84473047116865e-136	classA
WBGene00004020	chrII	5235647	5236846	1200	-	1200	WBGene00004020	pho-1	21.713485	82.100227	6.94462683484837	7.35717912532998	NA	NA	NA	NA	NA	NA	NA	776.378342711463	10.0644928621246	0.727719460857206	1.57992314607241e-42	1.20110901500249e-40	classC
WBGene00011076	chrX	9857365	9858564	1200	+	1200	WBGene00011076	scav-5	19.2637	45.64481	6.9156456373312	6.99437834152064	NA	NA	NA	NA	NA	NA	NA	46.9166832036851	10.0512280283415	2.6753418965874	3.05643912654957e-12	4.77681251220264e-11	classC
WBGene00002234	chrX	8246170	8247369	1200	-	1200	WBGene00002234	kqt-2	8.239432	105.126373	6.77750085661049	7.54676919457425	84.684201	105.126373	103.221580492945	2.9435934327684	2.02171168093372	1.92780239429144	2.01377050455092	1189.33639593554	10.0396773931215	0.602710457936385	3.7366401891447e-61	6.10753838915701e-59	classA
WBGene00011102	chrX	10340962	10342161	1200	-	1200	WBGene00011102	R07E3.1	60.8629	145.73732	7.34278261967892	7.83032322148455	121.315891	145.73732	137.603345032813	3.57760667736254	2.16357077891244	2.08391769222347	2.13862899139684	7137.45854007425	10.0138126808373	0.464628889994758	3.34690682569377e-102	4.10288940494734e-99	classA
WBGene00004096	chrII	11152396	11153595	1200	-	1200	WBGene00004096	pqm-1	33.05043	83.327026	7.07164650090497	7.36793378344971	NA	NA	NA	NA	NA	NA	NA	4034.85486008359	10.0001811457265	0.492299277808631	1.81676818482528e-90	1.18780303923877e-87	classC
WBGene00015913	chrII	3245816	3247015	1200	-	1200	WBGene00015913	C17F4.7	34.63422	119.726845	7.08853341162754	7.65523901346451	NA	NA	NA	NA	NA	NA	NA	1223.63664401637	9.98541878778309	0.652456797595982	4.05606521240771e-52	4.57216454460717e-50	classC
WBGene00007456	chrIV	13645724	13646923	1200	-	1200	WBGene00007456	srz-29	-15.448938	0.575648	6.4265633281267	6.36515077754003	NA	NA	NA	NA	NA	NA	NA	30.0443676699321	9.94877853130749	2.92309159542407	8.0230474879404e-11	1.11684920815091e-09	classC
WBGene00016004	chrII	6701426	6702625	1200	-	1200	WBGene00016004	C18H9.6	27.57909	73.331947	7.01173969020696	7.27788563297689	NA	NA	NA	NA	NA	NA	NA	257.491717003562	9.93806985108491	1.08265689882769	9.82588799609146e-20	2.52834477137746e-18	classC
WBGene00007460	chrIV	13609693	13610892	1200	-	1200	WBGene00007460	C08F11.13	9.988081	28.150394	6.80031518588876	6.78146181337443	NA	NA	NA	NA	NA	NA	NA	2200.21289335422	9.91726077876489	0.617477589426618	5.22174363151036e-59	7.93947903786389e-57	classC
WBGene00011902	chrX	10879809	10881008	1200	+	1200	WBGene00011902	T21E8.4	31.866659	80.980621	7.05889437794029	7.34729370340011	NA	NA	NA	NA	NA	NA	NA	118.090794054564	9.7407373912635	1.49002695546327	5.22135544030989e-13	8.64963391944579e-12	classC
WBGene00044807	chrII	9470022	9471221	1200	-	1200	WBGene00044807	T19H5.6	23.849939	54.760471	6.96943460941613	7.09400230981668	48.172313	54.760471	69.4822571052383	2.12672010218362	1.73846717488601	1.68279749952224	1.84187391789867	35.6974011723459	9.73197795708451	2.67949108763385	2.24492098704387e-11	3.25920653144918e-10	classA
WBGene00020576	chrII	6665898	6667097	1200	+	1200	WBGene00020576	T19D12.1	21.849577	61.834393	6.94621987363948	7.16683376359976	NA	NA	NA	NA	NA	NA	NA	3132.81188132735	9.63780280146515	0.545748156554	4.23359702790908e-69	1.01265575738303e-66	classC
WBGene00002067	chrX	9679970	9681169	1200	-	1200	WBGene00002067	ifp-1	32.854382	66.680832	7.06954235473131	7.21469041397843	57.206856	66.680832	68.4126586492522	2.0681858617462	1.82400101003351	1.75744808027098	1.83513646828252	4444.27715729951	9.6099186621029	0.403486541764561	1.05963993562138e-126	2.30930863303086e-123	classA
WBGene00003090	chrV	10276904	10278103	1200	+	1200	WBGene00003090	lys-1	48.654316	119.936195	7.22998251431046	7.65673650895115	100.828251	119.936195	79.9156449554476	2.96761482675114	2.0789502666402	2.00358223383957	1.90263180875956	1537.4213349471	9.59667370192661	0.612022762384788	3.42268544287014e-55	4.38774851480097e-53	classA
WBGene00008296	chrV	12415510	12416709	1200	-	1200	WBGene00008296	cdr-2	7.698147	41.900448	6.77036504984741	6.95137610024572	NA	NA	NA	NA	NA	NA	NA	810.143390747964	9.54718403061202	0.663061946575878	1.97760729229142e-46	1.76312679231836e-44	classC
WBGene00007807	chrV	15353901	15355100	1200	+	1200	WBGene00007807	C29F3.7	59.067215	153.502029	7.32673465001519	7.87872178622792	152.990875	153.502029	126.833551912938	3.57760667736254	2.18611412038441	2.18466552849519	2.1032341548324	1553.67418176498	9.54282085542465	0.525877980255356	3.11683272205166e-72	8.73336528718875e-70	classA
WBGene00017957	chrV	683060	684259	1200	+	1200	WBGene00017957	F31F4.1	8.091814	37.431004	6.77555829342222	6.89830988670291	NA	NA	NA	NA	NA	NA	NA	198.540030411688	9.52194400043091	1.0468808896827	2.45815310070872e-19	6.11080036974662e-18	classC
WBGene00020340	chrV	1986846	1988045	1200	-	1200	WBGene00020340	T08B1.1	35.102313	84.43943	7.09348676983259	7.37761677949809	NA	NA	NA	NA	NA	NA	NA	1217.95502401267	9.51084500068557	0.527444404385147	4.9780684548814e-74	1.47939143445521e-71	classC
WBGene00206520	chrIV	12764351	12765550	1200	+	1200	WBGene00206520	ZK897.10	88.67986	212.300385	7.57096831705543	8.2004463638752	209.004211	212.300385	207.16687251397	3.57760667736254	2.32695078174595	2.32015503632943	2.31632030978642	32.4980061810603	9.51054188228681	2.8734248141613	2.14571232056359e-08	2.44118337909132e-07	classA
WBGene00010657	chrIV	12906460	12907659	1200	-	1200	WBGene00010657	K08D8.3	6.050076	31.229183	6.74841848286916	6.82128384789658	NA	NA	NA	NA	NA	NA	NA	193.160473852249	9.49779056405252	1.05725312362982	4.54751587342623e-19	1.11077180997985e-17	classC
WBGene00020357	chrII	1835504	1836703	1200	+	1200	WBGene00020357	T08E11.1	4.526088	34.708103	6.72782281074739	6.86499697142982	NA	NA	NA	NA	NA	NA	NA	111.639109258695	9.49653619243285	1.48381007624062	1.55348125839394e-12	2.48126884382237e-11	classC
WBGene00009796	chrX	13311556	13312755	1200	-	1200	WBGene00009796	F46G10.1	5.625694	30.086281	6.74271272119952	6.8066291669849	NA	NA	NA	NA	NA	NA	NA	891.927803943978	9.42415123534425	0.519737607226482	2.29391157122843e-72	6.52069297943107e-70	classC
WBGene00015044	chrV	3970341	3971540	1200	-	1200	WBGene00015044	cyp-34A9	29.842922	60.937389	7.03682924402117	7.15779943100616	54.823119	60.937389	68.6006342580242	2.09261269179223	1.78488384195779	1.73896373981268	1.8363281310637	1400.4864899122	9.42078258632163	0.596115377821173	2.2463701858522e-56	3.08114019757378e-54	classA
WBGene00010125	chrIV	12964374	12965573	1200	+	1200	WBGene00010125	dod-22	28.782425	48.454582	7.02513029134086	7.02582583388158	NA	NA	NA	NA	NA	NA	NA	30.0890014782949	9.4096115451061	3.05197186138893	4.03397203838538e-07	3.92277280916663e-06	classC
WBGene00002139	chrI	4164075	4165274	1200	+	1200	WBGene00002139	inx-17	-8.452058	5.70761	6.53938652177306	6.45228244675509	NA	NA	NA	NA	NA	NA	NA	4832.55407964979	9.39080605103977	0.437461294199587	1.01559241930749e-103	1.32798864748647e-100	classC
WBGene00001754	chrII	4878891	4880090	1200	+	1200	WBGene00001754	gst-6	21.647607	74.925636	6.9438550608954	7.29262557455738	62.25276	74.925636	87.7936826135854	2.91100533157088	1.87463043810575	1.7941586108071	1.94346326642127	190.676596504893	9.37760111447208	1.06466406746216	2.04835786721221e-18	4.82890519320917e-17	classA
WBGene00164972	chrX	10882503	10883702	1200	+	1200	WBGene00164972	T21E8.7	-13.762302	1.716068	6.45457790943139	6.3849729433115	NA	NA	NA	NA	NA	NA	NA	95.5426450062539	9.36830608043641	1.45255367719721	9.34877542560253e-13	1.52171685641301e-11	classC
WBGene00011182	chrIV	10628630	10629829	1200	-	1200	WBGene00011182	R09H10.5	51.174294	110.146011	7.25399902026806	7.58498806324744	NA	NA	NA	NA	NA	NA	NA	4832.58980469688	9.36791287854507	0.452237698992464	3.89426505748968e-95	3.81910574188013e-92	classC
WBGene00007455	chrIV	13638260	13639459	1200	+	1200	WBGene00007455	ugt-22	48.387387	142.853241	7.22741498690706	7.81192457584483	124.365861	142.853241	138.869196043972	3.57760667736254	2.15489009793856	2.09470118088465	2.14260592124686	3403.47570501883	9.36424856623309	0.433356857054359	3.00273469416478e-104	4.20683130652485e-101	classA
WBGene00008900	chrV	18224254	18225453	1200	-	1200	WBGene00008900	F16H6.10	-1.972372	47.312889	6.63654292834275	7.01313035710626	NA	NA	NA	NA	NA	NA	NA	173.382928292877	9.35062725063304	1.08034230337938	7.53098161930736e-18	1.71559434937392e-16	classC
WBGene00019058	chrIV	6230023	6231222	1200	+	1200	WBGene00019058	F58F9.4	0.498719	12.113903	6.67193668064612	6.55414820988298	NA	NA	NA	NA	NA	NA	NA	29.8937151755908	9.33041945695835	2.640249759855	9.0417832803963e-11	1.25155636740785e-09	classC
WBGene00000786	chrX	6606207	6607406	1200	+	1200	WBGene00000786	cpr-6	261.494267	536.162781	8.50367074924901	9.27151011782253	481.279965	536.162781	434.172372342444	3.57760667736254	2.72929666312068	2.68239778299244	2.63766218456988	27598.2557871535	9.32742065146233	0.337834027306068	4.95231406461324e-169	4.8567344031662e-165	classA
WBGene00009226	chrV	16277116	16278315	1200	+	1200	WBGene00009226	cyp-37B1	25.11899	75.83429	6.98397094600776	7.30096274275911	69.389899	75.83429	78.0496400903953	2.87228579690136	1.87986562503084	1.84129625535633	1.89237090474481	244.126977941924	9.32548450524862	0.976806770020916	6.27486186475065e-21	1.73834944371779e-19	classA
WBGene00012018	chrX	11499800	11500999	1200	-	1200	WBGene00012018	T25C12.3	30.674581	47.708996	7.04593784027806	7.01754768270329	NA	NA	NA	NA	NA	NA	NA	6468.39167256332	9.32087101602189	0.500545879402159	7.67816670387727e-80	3.01199123459698e-77	classC
WBGene00002057	chrX	8824249	8825448	1200	-	1200	WBGene00002057	ifd-1	86.647943	173.991348	7.5554686350175	7.99914731253863	151.147787	173.991348	177.15485951052	3.57760667736254	2.24052765282697	2.17940179292486	2.24835306990463	1794.40525681503	9.31767567960401	0.533057322402838	4.4001781556432e-71	1.12084538110111e-68	classA
WBGene00018877	chrX	4732095	4733294	1200	+	1200	WBGene00018877	aman-1	126.371437	298.173431	7.83186568514798	8.5699726213396	281.29172	298.173431	299.006834890303	3.57760667736254	2.47446894265769	2.44915694862011	2.47568111582014	7172.71910156558	9.30841757077403	0.36113279105993	1.72500559620696e-148	1.12780865880011e-144	classA
WBGene00012615	chrV	20498858	20500057	1200	-	1200	WBGene00012615	dct-16	37.737952	74.351013	7.12106400818664	7.28732826222371	NA	NA	NA	NA	NA	NA	NA	320.410717999168	9.30644435898673	0.743327617937173	5.05054138854706e-35	2.76707594399335e-33	classC
WBGene00164971	chrX	10881284	10882483	1200	+	1200	WBGene00164971	T21E8.6	84.230878	178.138397	7.5368114837392	8.02234444117948	148.759261	178.138397	150.857057348882	3.57760667736254	2.25075753994563	2.17248401222243	2.17856563201835	445.987217706155	9.27541460389207	0.742809400493597	4.54336880407238e-35	2.51024325980495e-33	classA
WBGene00044534	chrV	4914880	4916079	1200	-	1200	WBGene00044534	H23N18.6	46.160516	129.145645	7.2058152768979	7.72111994695663	110.283417	129.145645	123.469277858906	3.57760667736254	2.111079765644	2.04251021373819	2.091558908072	86.5468075510447	9.25733606103253	1.45118236890051	1.62393871132855e-12	2.58328741962679e-11	classA
WBGene00008486	chrIV	10468741	10469940	1200	+	1200	WBGene00008486	ugt-44	19.001806	33.475082	6.91251267781048	6.84965496503757	NA	NA	NA	NA	NA	NA	NA	278.496453131383	9.2537010678792	0.835496196848915	9.6457930020127e-28	3.66652294460227e-26	classC
WBGene00009798	chrX	13333046	13334245	1200	+	1200	WBGene00009798	F46G10.4	17.316286	63.322426	6.89218485637617	7.1816970925718	NA	NA	NA	NA	NA	NA	NA	407.869953650032	9.23247361360767	0.781712947456107	7.02083100887375e-33	3.40857869821905e-31	classC
WBGene00010266	chrII	12930873	12932072	1200	+	1200	WBGene00010266	dct-18	138.730618	290.313721	7.90807646027422	8.53982226722506	272.545002	290.313721	291.101087108788	3.57760667736254	2.46286756223114	2.43543822223338	2.46404382730232	21845.4613197122	9.22892044025139	0.384518842363326	1.52951595033501e-128	3.74999073123387e-125	classA
WBGene00022327	chrIII	1321462	1322661	1200	-	1200	WBGene00022327	fbxa-15	3.699778	19.808084	6.71653162738778	6.66768602135205	NA	NA	NA	NA	NA	NA	NA	386.309830971379	9.13284412613137	0.949916568565022	4.74245551159302e-22	1.38833615528933e-20	classC
WBGene00003786	chrV	7074787	7075986	1200	+	1200	WBGene00003786	npa-1	103.666422	268.459991	7.68041691367768	8.45251876313611	249.051326	268.459991	102.503860783876	2.94831514068938	2.42887957129209	2.39628885834686	2.01074022329964	22160.3721547676	9.12709170798781	0.4128038174824	1.1025801714458e-109	2.16260074827379e-106	classA
WBGene00010605	chrX	14213973	14215172	1200	+	1200	WBGene00010605	K06G5.1	120.176534	242.542618	7.79209575981432	8.34163004935536	183.902092	242.542618	108.447412917309	3.13108375298469	2.38478806102494	2.26458666963443	2.03521919609997	2639.51342894785	9.05781640591315	0.474548398777893	7.05239103256568e-84	3.37379506616447e-81	classA
WBGene00017881	chrV	8642994	8644193	1200	-	1200	WBGene00017881	asp-13	24.796687	67.558746	6.98029298081716	7.22319215793309	NA	NA	NA	NA	NA	NA	NA	943.880174007384	9.05043068943642	0.661377830471448	1.87270131194812e-42	1.41819164218342e-40	classC
WBGene00016542	chrIV	5614409	5615608	1200	-	1200	WBGene00016542	C39H7.4	19.644021	47.799526	6.92018322381167	7.01855536361273	NA	NA	NA	NA	NA	NA	NA	837.138568431935	9.04915954441526	0.557459730308555	5.13710669462153e-58	7.51934408270946e-56	classC
WBGene00000215	chrV	9202077	9203276	1200	+	1200	WBGene00000215	asp-2	56.185755	144.357803	7.3006041736894	7.82155202260504	126.432711	144.357803	141.615252287247	3.57760667736254	2.1594402638541	2.10185945028265	2.15111003038388	1765.12787517648	9.03784503910773	0.581181225393364	2.59699463961424e-54	3.1835908038371e-52	classA
WBGene00011853	chrV	16840862	16842061	1200	-	1200	WBGene00011853	clec-40	15.229507	29.065687	6.86661432916587	6.79341574510648	NA	NA	NA	NA	NA	NA	NA	75.7115054581644	9.01635401019643	1.52949674322997	5.04215647286445e-11	7.13541537220515e-10	classC
WBGene00008654	chrIII	4643111	4644310	1200	-	1200	WBGene00008654	pfas-1	12.564263	34.982212	6.83328228529491	6.86838555104398	NA	NA	NA	NA	NA	NA	NA	1234.13381370354	9.0017103352797	1.30768247240246	2.55865407802943e-13	4.33754892709328e-12	classC
WBGene00010070	chrII	13506819	13508018	1200	+	1200	WBGene00010070	nep-17	36.30183	80.799507	7.1061029634259	7.34568819567281	NA	NA	NA	NA	NA	NA	NA	13085.4739190135	8.99517278563134	0.499209642867325	1.56549999626061e-73	4.58294282487397e-71	classC
WBGene00021565	chrV	2564683	2565882	1200	+	1200	WBGene00021565	Y45G12C.1	62.962808	111.939041	7.36132574693162	7.59839819921043	99.495581	111.939041	102.649354243608	2.94733567594877	2.04898158191507	1.99780379240469	2.01135622161387	184.23789215552	8.97009568855145	0.926944673863161	2.48389479045933e-21	7.02004501730104e-20	classA
WBGene00019957	chrX	4821647	4822846	1200	+	1200	WBGene00019957	R08E3.1	35.985584	48.776875	7.10278746846691	7.02938956218842	NA	NA	NA	NA	NA	NA	NA	2143.46762850528	8.94639157973718	0.436209886178578	9.683081402062e-94	7.59695834480176e-91	classC
WBGene00000983	chrV	11604364	11605563	1200	-	1200	WBGene00000983	dhs-20	30.45464	79.66114	7.04353456357923	7.33555588440362	NA	NA	NA	NA	NA	NA	NA	1045.5576484974	8.94370406278195	0.483460975105713	4.03947121829663e-79	1.49490921652208e-76	classC
WBGene00002273	chrV	6488921	6490120	1200	-	1200	WBGene00002273	lec-10	56.622405	136.243973	7.30459448170948	7.76885498235716	115.059004	136.243973	125.122226735327	3.57760667736254	2.13431729956713	2.06092061026678	2.09733446469803	3349.32428620838	8.90924971277015	0.460296240165412	1.4618030341788e-83	6.826620169615e-81	classA
WBGene00017969	chrII	7231853	7233052	1200	+	1200	WBGene00017969	ctsa-3.1	12.042717	41.500443	6.82666866450221	6.94670552855071	NA	NA	NA	NA	NA	NA	NA	1704.36070795085	8.90416252734978	0.607248566399539	2.71340049641882e-51	3.00681566874343e-49	classC
WBGene00009431	chrV	13730585	13731784	1200	-	1200	WBGene00009431	dct-17	35.826292	86.078644	7.10111457534948	7.39176802063198	NA	NA	NA	NA	NA	NA	NA	69.3854386072191	8.89133231460159	1.47821631980793	2.65706393274416e-11	3.84050493565541e-10	classC
WBGene00021252	chrIII	1657281	1658480	1200	-	1200	WBGene00021252	cht-4	68.365474	145.209793	7.40796630994488	7.82697541100507	126.152764	145.209793	137.947187785244	3.57760667736254	2.16199590632581	2.10089677032563	2.13971285130452	3031.89548393222	8.8796465289042	0.4562927081997	5.54428279948382e-87	3.02071007858544e-84	classA
WBGene00001099	chrIV	320345	321544	1200	-	1200	WBGene00001099	dsc-4	66.493188	128.666656	7.391973247436	7.71784122357094	112.476018	128.666656	111.550619879428	3.1122697684173	2.1094660139484	2.05105993257583	2.04747198797232	4607.17165421865	8.84838323309028	0.477060797193518	4.51285519563795e-79	1.63916929272672e-76	classA
WBGene00014132	chrIV	12875161	12876360	1200	-	1200	WBGene00014132	ZK896.1	-6.630778	7.498792	6.56736230038854	6.48149565487393	NA	NA	NA	NA	NA	NA	NA	161.464336136483	8.8212128667191	1.07907005506841	3.76170661141573e-16	7.69365104028238e-15	classC
WBGene00016877	chrIV	17175477	17176676	1200	+	1200	WBGene00016877	C52D10.3	20.985945	113.934341	6.93608057419837	7.61317603308993	NA	NA	NA	NA	NA	NA	NA	13443.6148556503	8.81433870629441	0.537152115085177	9.23293288822854e-62	1.53470123448911e-59	classC
WBGene00016721	chrIV	6017003	6018202	1200	+	1200	WBGene00016721	C46G7.1	72.673523	175.995575	7.44410598052946	8.01040483026583	169.679475	175.995575	172.979665307709	3.57760667736254	2.24550174862528	2.2296293117735	2.23799505247149	502.214574800822	8.8108557702696	0.566188264608507	8.91397509493186e-54	1.06608967995118e-51	classA
WBGene00008163	chrI	12326826	12328025	1200	-	1200	WBGene00008163	C47F8.7	50.867988	96.951164	7.25110104372932	7.48227195292244	84.86901	96.951164	94.634222104226	3.00440736417636	1.98655302760495	1.92874913614573	1.97604821656437	169.61917054504	8.81041842411996	0.923760358229208	9.04723130751479e-21	2.485327659182e-19	classA
WBGene00010086	chrIV	14430721	14431920	1200	-	1200	WBGene00010086	F55B11.4	32.369128	71.461632	7.06432097814909	7.26039289972064	NA	NA	NA	NA	NA	NA	NA	350.147185873723	8.80121802579859	0.690091357070965	9.65990093709759e-37	5.75894519696754e-35	classC
WBGene00010658	chrIV	12909799	12910998	1200	-	1200	WBGene00010658	K08D8.4	17.213667	65.443298	6.89093794494867	7.20262036838038	53.843562	65.443298	75.9281218077978	2.6658310526238	1.81586517738561	1.73113378274962	1.88040265710697	166.677248351424	8.79543153362167	1.02966191919913	1.48216008978431e-17	3.30729101263133e-16	classA
WBGene00022261	chrV	3117377	3118576	1200	+	1200	WBGene00022261	clec-210	22.158372	66.661911	6.94982799445079	7.2145066298248	53.623219	66.661911	68.4317057749726	2.08074491276576	1.82387775944241	1.72935288111228	1.83525736564917	64.413371912927	8.7759416166853	1.39983221467062	4.35770992392754e-12	6.71950648175431e-11	classA
WBGene00010328	chrI	10531667	10532866	1200	+	1200	WBGene00010328	F59C6.11	103.620715	210.877731	7.68009542197094	8.19345203868306	188.224055	210.877731	121.905139446851	3.57760667736254	2.32403072002184	2.27467512539397	2.08602201559669	1340.04807873282	8.77185973119193	0.428526476351186	4.01899337478311e-94	3.28452233554149e-91	classA
WBGene00007336	chrIV	11247882	11249081	1200	-	1200	WBGene00007336	C05C12.4	29.566265	50.017979	7.03378641579551	7.04303133133988	NA	NA	NA	NA	NA	NA	NA	315.750718297561	8.77089229241755	0.703984171516492	3.76099132924918e-35	2.09568420261061e-33	classC
WBGene00007394	chrV	17888785	17889984	1200	-	1200	WBGene00007394	C06H5.6	56.730967	134.587601	7.30558486032414	7.757856610328	134.587601	134.587601	117.029269623744	3.57760667736254	2.12900505197329	2.12900505197329	2.06829449462073	1695.35195631895	8.76009511947432	0.489320625663073	2.57126525045768e-71	6.72437288299693e-69	classA
WBGene00008102	chrV	12854667	12855866	1200	-	1200	WBGene00008102	C44H9.7	57.895025	143.162582	7.31616170274321	7.813909251969	123.770798	143.162582	112.219146824772	3.10890312766734	2.15582952248019	2.09261819102137	2.05006696254332	3484.06495425518	8.73410568060039	0.406722446419247	3.40322341164164e-105	5.13467876891839e-102	classA
