Gene stable ID,Genome project,Gene name,Transcript biotype
WBGene00000069,caenorhabditis_elegans_prjna13758,acy-2,protein_coding
WBGene00000070,caenorhabditis_elegans_prjna13758,acy-3,protein_coding
WBGene00000071,caenorhabditis_elegans_prjna13758,acy-4,protein_coding
WBGene00000072,caenorhabditis_elegans_prjna13758,add-1,protein_coding
WBGene00000072,caenorhabditis_elegans_prjna13758,add-1,protein_coding
WBGene00000072,caenorhabditis_elegans_prjna13758,add-1,protein_coding
WBGene00000072,caenorhabditis_elegans_prjna13758,add-1,protein_coding
WBGene00000072,caenorhabditis_elegans_prjna13758,add-1,protein_coding
WBGene00000073,caenorhabditis_elegans_prjna13758,add-2,protein_coding
WBGene00000073,caenorhabditis_elegans_prjna13758,add-2,protein_coding
WBGene00000074,caenorhabditis_elegans_prjna13758,adm-2,protein_coding
WBGene00000074,caenorhabditis_elegans_prjna13758,adm-2,protein_coding
WBGene00000075,caenorhabditis_elegans_prjna13758,adm-4,protein_coding
WBGene00000079,caenorhabditis_elegans_prjna13758,adr-1,protein_coding
WBGene00000079,caenorhabditis_elegans_prjna13758,adr-1,protein_coding
WBGene00000079,caenorhabditis_elegans_prjna13758,adr-1,protein_coding
WBGene00000079,caenorhabditis_elegans_prjna13758,adr-1,protein_coding
WBGene00000079,caenorhabditis_elegans_prjna13758,adr-1,protein_coding
WBGene00000080,caenorhabditis_elegans_prjna13758,adr-2,protein_coding
WBGene00000081,caenorhabditis_elegans_prjna13758,ads-1,protein_coding
WBGene00000082,caenorhabditis_elegans_prjna13758,adt-1,protein_coding
WBGene00000082,caenorhabditis_elegans_prjna13758,adt-1,protein_coding
WBGene00000083,caenorhabditis_elegans_prjna13758,adt-2,protein_coding
WBGene00000083,caenorhabditis_elegans_prjna13758,adt-2,protein_coding
WBGene00000083,caenorhabditis_elegans_prjna13758,adt-2,protein_coding
WBGene00000084,caenorhabditis_elegans_prjna13758,aex-1,protein_coding
WBGene00000084,caenorhabditis_elegans_prjna13758,aex-1,protein_coding
WBGene00000085,caenorhabditis_elegans_prjna13758,aex-2,protein_coding
WBGene00000086,caenorhabditis_elegans_prjna13758,aex-3,protein_coding
WBGene00000086,caenorhabditis_elegans_prjna13758,aex-3,protein_coding
WBGene00000088,caenorhabditis_elegans_prjna13758,aex-5,protein_coding
WBGene00000089,caenorhabditis_elegans_prjna13758,aex-6,protein_coding
WBGene00000090,caenorhabditis_elegans_prjna13758,age-1,protein_coding
WBGene00000090,caenorhabditis_elegans_prjna13758,age-1,protein_coding
WBGene00000092,caenorhabditis_elegans_prjna13758,ags-3,protein_coding
WBGene00000092,caenorhabditis_elegans_prjna13758,ags-3,protein_coding
WBGene00000092,caenorhabditis_elegans_prjna13758,ags-3,ncRNA
WBGene00000092,caenorhabditis_elegans_prjna13758,ags-3,ncRNA
WBGene00000092,caenorhabditis_elegans_prjna13758,ags-3,protein_coding
WBGene00000092,caenorhabditis_elegans_prjna13758,ags-3,protein_coding
WBGene00000092,caenorhabditis_elegans_prjna13758,ags-3,protein_coding
WBGene00000092,caenorhabditis_elegans_prjna13758,ags-3,protein_coding
WBGene00000092,caenorhabditis_elegans_prjna13758,ags-3,protein_coding
WBGene00000092,caenorhabditis_elegans_prjna13758,ags-3,protein_coding
WBGene00000092,caenorhabditis_elegans_prjna13758,ags-3,protein_coding
WBGene00000092,caenorhabditis_elegans_prjna13758,ags-3,protein_coding
WBGene00000093,caenorhabditis_elegans_prjna13758,agt-1,protein_coding
WBGene00000093,caenorhabditis_elegans_prjna13758,agt-1,protein_coding
WBGene00000094,caenorhabditis_elegans_prjna13758,agt-2,protein_coding
WBGene00000095,caenorhabditis_elegans_prjna13758,aha-1,protein_coding
WBGene00000096,caenorhabditis_elegans_prjna13758,ahr-1,protein_coding
WBGene00000096,caenorhabditis_elegans_prjna13758,ahr-1,protein_coding
WBGene00000097,caenorhabditis_elegans_prjna13758,aip-1,protein_coding
WBGene00000098,caenorhabditis_elegans_prjna13758,air-1,protein_coding
WBGene00000099,caenorhabditis_elegans_prjna13758,air-2,protein_coding
WBGene00000099,caenorhabditis_elegans_prjna13758,air-2,protein_coding
WBGene00000100,caenorhabditis_elegans_prjna13758,ajm-1,protein_coding
WBGene00000100,caenorhabditis_elegans_prjna13758,ajm-1,protein_coding
WBGene00000100,caenorhabditis_elegans_prjna13758,ajm-1,protein_coding
WBGene00000100,caenorhabditis_elegans_prjna13758,ajm-1,protein_coding
WBGene00000100,caenorhabditis_elegans_prjna13758,ajm-1,protein_coding
WBGene00000100,caenorhabditis_elegans_prjna13758,ajm-1,protein_coding
WBGene00000100,caenorhabditis_elegans_prjna13758,ajm-1,protein_coding
WBGene00000100,caenorhabditis_elegans_prjna13758,ajm-1,protein_coding
WBGene00000100,caenorhabditis_elegans_prjna13758,ajm-1,protein_coding
WBGene00000100,caenorhabditis_elegans_prjna13758,ajm-1,protein_coding
WBGene00000100,caenorhabditis_elegans_prjna13758,ajm-1,protein_coding
WBGene00000100,caenorhabditis_elegans_prjna13758,ajm-1,protein_coding
WBGene00000100,caenorhabditis_elegans_prjna13758,ajm-1,protein_coding
WBGene00000100,caenorhabditis_elegans_prjna13758,ajm-1,protein_coding
WBGene00000100,caenorhabditis_elegans_prjna13758,ajm-1,protein_coding
WBGene00000100,caenorhabditis_elegans_prjna13758,ajm-1,protein_coding
WBGene00000101,caenorhabditis_elegans_prjna13758,aka-1,protein_coding
WBGene00000101,caenorhabditis_elegans_prjna13758,aka-1,protein_coding
WBGene00000101,caenorhabditis_elegans_prjna13758,aka-1,protein_coding
WBGene00000102,caenorhabditis_elegans_prjna13758,akt-1,protein_coding
WBGene00000102,caenorhabditis_elegans_prjna13758,akt-1,protein_coding
WBGene00000102,caenorhabditis_elegans_prjna13758,akt-1,protein_coding
WBGene00000103,caenorhabditis_elegans_prjna13758,akt-2,protein_coding
WBGene00000103,caenorhabditis_elegans_prjna13758,akt-2,protein_coding
WBGene00000105,caenorhabditis_elegans_prjna13758,alg-1,protein_coding
WBGene00000105,caenorhabditis_elegans_prjna13758,alg-1,protein_coding
WBGene00000105,caenorhabditis_elegans_prjna13758,alg-1,protein_coding
WBGene00000105,caenorhabditis_elegans_prjna13758,alg-1,protein_coding
WBGene00000106,caenorhabditis_elegans_prjna13758,alg-2,protein_coding
WBGene00000106,caenorhabditis_elegans_prjna13758,alg-2,protein_coding
WBGene00000107,caenorhabditis_elegans_prjna13758,alh-1,protein_coding
WBGene00000107,caenorhabditis_elegans_prjna13758,alh-1,protein_coding
WBGene00000107,caenorhabditis_elegans_prjna13758,alh-1,protein_coding
WBGene00000108,caenorhabditis_elegans_prjna13758,alh-2,protein_coding
WBGene00000109,caenorhabditis_elegans_prjna13758,alh-3,protein_coding
WBGene00000110,caenorhabditis_elegans_prjna13758,alh-4,protein_coding
WBGene00000110,caenorhabditis_elegans_prjna13758,alh-4,protein_coding
WBGene00000110,caenorhabditis_elegans_prjna13758,alh-4,protein_coding
WBGene00000110,caenorhabditis_elegans_prjna13758,alh-4,protein_coding
WBGene00000111,caenorhabditis_elegans_prjna13758,alh-5,protein_coding
WBGene00000112,caenorhabditis_elegans_prjna13758,alh-6,protein_coding
WBGene00000112,caenorhabditis_elegans_prjna13758,alh-6,protein_coding
WBGene00000112,caenorhabditis_elegans_prjna13758,alh-6,protein_coding
WBGene00000112,caenorhabditis_elegans_prjna13758,alh-6,protein_coding
WBGene00000112,caenorhabditis_elegans_prjna13758,alh-6,protein_coding
WBGene00000113,caenorhabditis_elegans_prjna13758,alh-7,protein_coding
WBGene00000113,caenorhabditis_elegans_prjna13758,alh-7,protein_coding
WBGene00000114,caenorhabditis_elegans_prjna13758,alh-8,protein_coding
WBGene00000114,caenorhabditis_elegans_prjna13758,alh-8,protein_coding
WBGene00000115,caenorhabditis_elegans_prjna13758,alh-9,protein_coding
WBGene00000115,caenorhabditis_elegans_prjna13758,alh-9,protein_coding
WBGene00000116,caenorhabditis_elegans_prjna13758,alh-10,protein_coding
WBGene00000117,caenorhabditis_elegans_prjna13758,alh-11,protein_coding
WBGene00000117,caenorhabditis_elegans_prjna13758,alh-11,protein_coding
WBGene00000117,caenorhabditis_elegans_prjna13758,alh-11,protein_coding
WBGene00000118,caenorhabditis_elegans_prjna13758,alh-12,protein_coding
WBGene00000118,caenorhabditis_elegans_prjna13758,alh-12,protein_coding
WBGene00000120,caenorhabditis_elegans_prjna13758,aly-1,protein_coding
WBGene00000121,caenorhabditis_elegans_prjna13758,aly-2,protein_coding
WBGene00000122,caenorhabditis_elegans_prjna13758,aly-3,protein_coding
WBGene00000122,caenorhabditis_elegans_prjna13758,aly-3,ncRNA
WBGene00000123,caenorhabditis_elegans_prjna13758,ama-1,protein_coding
WBGene00000133,caenorhabditis_elegans_prjna13758,amt-1,protein_coding
WBGene00000134,caenorhabditis_elegans_prjna13758,amt-2,protein_coding
WBGene00000135,caenorhabditis_elegans_prjna13758,amt-3,protein_coding
WBGene00000136,caenorhabditis_elegans_prjna13758,amt-4,protein_coding
WBGene00000137,caenorhabditis_elegans_prjna13758,amx-1,protein_coding
WBGene00000138,caenorhabditis_elegans_prjna13758,amx-2,protein_coding
WBGene00000139,caenorhabditis_elegans_prjna13758,amx-3,protein_coding
WBGene00000139,caenorhabditis_elegans_prjna13758,amx-3,protein_coding
WBGene00000140,caenorhabditis_elegans_prjna13758,anc-1,protein_coding
WBGene00000140,caenorhabditis_elegans_prjna13758,anc-1,protein_coding
WBGene00000140,caenorhabditis_elegans_prjna13758,anc-1,protein_coding
WBGene00000142,caenorhabditis_elegans_prjna13758,aos-1,protein_coding
WBGene00000143,caenorhabditis_elegans_prjna13758,apc-2,protein_coding
WBGene00000144,caenorhabditis_elegans_prjna13758,apc-10,protein_coding
WBGene00000144,caenorhabditis_elegans_prjna13758,apc-10,protein_coding
WBGene00000144,caenorhabditis_elegans_prjna13758,apc-10,protein_coding
WBGene00000144,caenorhabditis_elegans_prjna13758,apc-10,protein_coding
WBGene00000145,caenorhabditis_elegans_prjna13758,apc-11,protein_coding
WBGene00000146,caenorhabditis_elegans_prjna13758,ape-1,protein_coding
WBGene00000146,caenorhabditis_elegans_prjna13758,ape-1,protein_coding
WBGene00000146,caenorhabditis_elegans_prjna13758,ape-1,protein_coding
WBGene00000146,caenorhabditis_elegans_prjna13758,ape-1,protein_coding
WBGene00000147,caenorhabditis_elegans_prjna13758,aph-1,protein_coding
WBGene00000148,caenorhabditis_elegans_prjna13758,aph-2,protein_coding
WBGene00000148,caenorhabditis_elegans_prjna13758,aph-2,protein_coding
WBGene00000149,caenorhabditis_elegans_prjna13758,apl-1,protein_coding
WBGene00000149,caenorhabditis_elegans_prjna13758,apl-1,protein_coding
WBGene00000150,caenorhabditis_elegans_prjna13758,apm-1,protein_coding
WBGene00000151,caenorhabditis_elegans_prjna13758,apn-1,protein_coding
WBGene00000155,caenorhabditis_elegans_prjna13758,app-1,protein_coding
WBGene00000156,caenorhabditis_elegans_prjna13758,apr-1,protein_coding
WBGene00000156,caenorhabditis_elegans_prjna13758,apr-1,protein_coding
WBGene00000156,caenorhabditis_elegans_prjna13758,apr-1,protein_coding
WBGene00000157,caenorhabditis_elegans_prjna13758,aps-2,protein_coding
WBGene00000158,caenorhabditis_elegans_prjna13758,apg-1,protein_coding
WBGene00000159,caenorhabditis_elegans_prjna13758,aps-1,protein_coding
WBGene00000160,caenorhabditis_elegans_prjna13758,apb-1,protein_coding
WBGene00000161,caenorhabditis_elegans_prjna13758,apa-2,protein_coding
WBGene00000162,caenorhabditis_elegans_prjna13758,apd-3,protein_coding
WBGene00000162,caenorhabditis_elegans_prjna13758,apd-3,protein_coding
WBGene00000163,caenorhabditis_elegans_prjna13758,apb-3,protein_coding
WBGene00000163,caenorhabditis_elegans_prjna13758,apb-3,protein_coding
WBGene00000164,caenorhabditis_elegans_prjna13758,apm-3,protein_coding
WBGene00000165,caenorhabditis_elegans_prjna13758,aps-3,protein_coding
WBGene00000166,caenorhabditis_elegans_prjna13758,apt-9,protein_coding
WBGene00000168,caenorhabditis_elegans_prjna13758,apx-1,protein_coding
WBGene00000168,caenorhabditis_elegans_prjna13758,apx-1,ncRNA
WBGene00000168,caenorhabditis_elegans_prjna13758,apx-1,ncRNA
WBGene00000168,caenorhabditis_elegans_prjna13758,apx-1,ncRNA
WBGene00000168,caenorhabditis_elegans_prjna13758,apx-1,protein_coding
WBGene00000168,caenorhabditis_elegans_prjna13758,apx-1,protein_coding
WBGene00000169,caenorhabditis_elegans_prjna13758,aqp-1,protein_coding
WBGene00000169,caenorhabditis_elegans_prjna13758,aqp-1,protein_coding
WBGene00000170,caenorhabditis_elegans_prjna13758,aqp-2,protein_coding
WBGene00000170,caenorhabditis_elegans_prjna13758,aqp-2,protein_coding
WBGene00000170,caenorhabditis_elegans_prjna13758,aqp-2,protein_coding
WBGene00000171,caenorhabditis_elegans_prjna13758,aqp-3,protein_coding
WBGene00000171,caenorhabditis_elegans_prjna13758,aqp-3,protein_coding
WBGene00000171,caenorhabditis_elegans_prjna13758,aqp-3,protein_coding
WBGene00000172,caenorhabditis_elegans_prjna13758,aqp-4,protein_coding
WBGene00000173,caenorhabditis_elegans_prjna13758,aqp-5,protein_coding
WBGene00000174,caenorhabditis_elegans_prjna13758,aqp-6,protein_coding
WBGene00000174,caenorhabditis_elegans_prjna13758,aqp-6,protein_coding
WBGene00000174,caenorhabditis_elegans_prjna13758,aqp-6,protein_coding
WBGene00000175,caenorhabditis_elegans_prjna13758,aqp-7,protein_coding
WBGene00000175,caenorhabditis_elegans_prjna13758,aqp-7,protein_coding
WBGene00000175,caenorhabditis_elegans_prjna13758,aqp-7,protein_coding
WBGene00000176,caenorhabditis_elegans_prjna13758,aqp-8,protein_coding
WBGene00000176,caenorhabditis_elegans_prjna13758,aqp-8,protein_coding
WBGene00000176,caenorhabditis_elegans_prjna13758,aqp-8,protein_coding
WBGene00000176,caenorhabditis_elegans_prjna13758,aqp-8,protein_coding
WBGene00000176,caenorhabditis_elegans_prjna13758,aqp-8,protein_coding
WBGene00000177,caenorhabditis_elegans_prjna13758,aqp-9,protein_coding
WBGene00000177,caenorhabditis_elegans_prjna13758,aqp-9,protein_coding
WBGene00000177,caenorhabditis_elegans_prjna13758,aqp-9,protein_coding
WBGene00000178,caenorhabditis_elegans_prjna13758,aqp-10,protein_coding
WBGene00000179,caenorhabditis_elegans_prjna13758,aqp-11,protein_coding
WBGene00000180,caenorhabditis_elegans_prjna13758,arc-1,protein_coding
WBGene00000181,caenorhabditis_elegans_prjna13758,ard-1,protein_coding
WBGene00000181,caenorhabditis_elegans_prjna13758,ard-1,protein_coding
WBGene00000182,caenorhabditis_elegans_prjna13758,arf-1,protein_coding
WBGene00000182,caenorhabditis_elegans_prjna13758,arf-1,protein_coding
WBGene00000183,caenorhabditis_elegans_prjna13758,arf-5,protein_coding
WBGene00000184,caenorhabditis_elegans_prjna13758,arf-6,protein_coding
WBGene00000185,caenorhabditis_elegans_prjna13758,arg-1,protein_coding
WBGene00000186,caenorhabditis_elegans_prjna13758,ark-1,protein_coding
WBGene00000186,caenorhabditis_elegans_prjna13758,ark-1,protein_coding
WBGene00000187,caenorhabditis_elegans_prjna13758,arl-1,protein_coding
WBGene00000188,caenorhabditis_elegans_prjna13758,arl-3,protein_coding
WBGene00000189,caenorhabditis_elegans_prjna13758,arl-5,protein_coding
WBGene00000190,caenorhabditis_elegans_prjna13758,warf-1,protein_coding
WBGene00000191,caenorhabditis_elegans_prjna13758,arl-7,pseudogene
WBGene00000192,caenorhabditis_elegans_prjna13758,arl-8,protein_coding
WBGene00000193,caenorhabditis_elegans_prjna13758,arl-6,protein_coding
WBGene00000195,caenorhabditis_elegans_prjna13758,arr-1,protein_coding
WBGene00000196,caenorhabditis_elegans_prjna13758,aars-1,protein_coding
WBGene00000196,caenorhabditis_elegans_prjna13758,aars-1,ncRNA
WBGene00000197,caenorhabditis_elegans_prjna13758,aars-2,protein_coding
WBGene00000197,caenorhabditis_elegans_prjna13758,aars-2,protein_coding
WBGene00000198,caenorhabditis_elegans_prjna13758,art-1,protein_coding
WBGene00000199,caenorhabditis_elegans_prjna13758,arx-1,protein_coding
WBGene00000200,caenorhabditis_elegans_prjna13758,arx-2,protein_coding
WBGene00000201,caenorhabditis_elegans_prjna13758,arx-3,protein_coding
WBGene00000201,caenorhabditis_elegans_prjna13758,arx-3,protein_coding
WBGene00000202,caenorhabditis_elegans_prjna13758,exos-4.2,protein_coding
WBGene00000203,caenorhabditis_elegans_prjna13758,arx-5,protein_coding
WBGene00000204,caenorhabditis_elegans_prjna13758,arx-6,protein_coding
WBGene00000205,caenorhabditis_elegans_prjna13758,arx-7,protein_coding
WBGene00000206,caenorhabditis_elegans_prjna13758,asb-1,protein_coding
WBGene00000207,caenorhabditis_elegans_prjna13758,asb-2,protein_coding
WBGene00000207,caenorhabditis_elegans_prjna13758,asb-2,protein_coding
WBGene00000208,caenorhabditis_elegans_prjna13758,trip-4,protein_coding
WBGene00000209,caenorhabditis_elegans_prjna13758,asg-1,protein_coding
WBGene00000210,caenorhabditis_elegans_prjna13758,asg-2,protein_coding
WBGene00000211,caenorhabditis_elegans_prjna13758,asm-1,protein_coding
WBGene00000212,caenorhabditis_elegans_prjna13758,asm-2,protein_coding
WBGene00000213,caenorhabditis_elegans_prjna13758,asm-3,protein_coding
WBGene00000213,caenorhabditis_elegans_prjna13758,asm-3,protein_coding
WBGene00000214,caenorhabditis_elegans_prjna13758,asp-1,protein_coding
WBGene00000215,caenorhabditis_elegans_prjna13758,asp-2,protein_coding
WBGene00000216,caenorhabditis_elegans_prjna13758,asp-3,protein_coding
WBGene00000217,caenorhabditis_elegans_prjna13758,asp-4,protein_coding
WBGene00000218,caenorhabditis_elegans_prjna13758,asp-5,protein_coding
WBGene00000219,caenorhabditis_elegans_prjna13758,asp-6,protein_coding
WBGene00000220,caenorhabditis_elegans_prjna13758,atf-2,protein_coding
WBGene00000221,caenorhabditis_elegans_prjna13758,atf-4,protein_coding
WBGene00000221,caenorhabditis_elegans_prjna13758,atf-4,protein_coding
WBGene00000222,caenorhabditis_elegans_prjna13758,atf-6,protein_coding
WBGene00000223,caenorhabditis_elegans_prjna13758,atf-7,protein_coding
WBGene00000223,caenorhabditis_elegans_prjna13758,atf-7,protein_coding
WBGene00000223,caenorhabditis_elegans_prjna13758,atf-7,protein_coding
WBGene00000223,caenorhabditis_elegans_prjna13758,atf-7,protein_coding
WBGene00000223,caenorhabditis_elegans_prjna13758,atf-7,protein_coding
WBGene00000223,caenorhabditis_elegans_prjna13758,atf-7,protein_coding
WBGene00000223,caenorhabditis_elegans_prjna13758,atf-7,protein_coding
WBGene00000223,caenorhabditis_elegans_prjna13758,atf-7,protein_coding
WBGene00000224,caenorhabditis_elegans_prjna13758,atgp-1,protein_coding
WBGene00000224,caenorhabditis_elegans_prjna13758,atgp-1,protein_coding
WBGene00000225,caenorhabditis_elegans_prjna13758,atgp-2,protein_coding
WBGene00000225,caenorhabditis_elegans_prjna13758,atgp-2,protein_coding
WBGene00000225,caenorhabditis_elegans_prjna13758,atgp-2,protein_coding
WBGene00000226,caenorhabditis_elegans_prjna13758,atl-1,protein_coding
WBGene00000226,caenorhabditis_elegans_prjna13758,atl-1,protein_coding
WBGene00000226,caenorhabditis_elegans_prjna13758,atl-1,protein_coding
WBGene00000227,caenorhabditis_elegans_prjna13758,atm-1,protein_coding
WBGene00000227,caenorhabditis_elegans_prjna13758,atm-1,protein_coding
WBGene00000228,caenorhabditis_elegans_prjna13758,atn-1,protein_coding
WBGene00000228,caenorhabditis_elegans_prjna13758,atn-1,protein_coding
WBGene00000228,caenorhabditis_elegans_prjna13758,atn-1,protein_coding
WBGene00000228,caenorhabditis_elegans_prjna13758,atn-1,protein_coding
WBGene00000229,caenorhabditis_elegans_prjna13758,atp-2,protein_coding
WBGene00000229,caenorhabditis_elegans_prjna13758,atp-2,protein_coding
WBGene00000230,caenorhabditis_elegans_prjna13758,atp-3,protein_coding
WBGene00000230,caenorhabditis_elegans_prjna13758,atp-3,protein_coding
WBGene00000230,caenorhabditis_elegans_prjna13758,atp-3,protein_coding
