Geneid	Chr	Start	End	Strand	Length	elt2D_sorted_1	elt2D_sorted_2	elt2D_sorted_3	elt2D_sorted_4	elt2Delt7D_sorted_1	elt2Delt7D_sorted_2	elt2Delt7D_sorted_3	wt_sorted_1	wt_sorted_2	wt_sorted_3	wt_sorted_4	elt7D_sorted_1	elt7D_sorted_2	elt7D_sorted_3
WBGene00001099	IV	320471	320605	-	135	4	5	5	3	3	1	2	6	5	2	4	2	0	2
WBGene00001735	IV;IV;IV	322585;322687;322927	322595;322860;323022	-;-;-	281	1	3	0	0	30	31	41	0	0	0	0	0	0	0
WBGene00017578	IV	325063	325075	+	13	0	0	0	0	0	0	0	1	0	1	2	2	1	2
WBGene00000675	IV;IV	326530;326672	326530;326711	-;-	41	7	5	2	3	18	6	17	4	3	0	1	11	1	3
WBGene00017577	IV	330823	330956	+	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00017574	IV	337162	337178	-	17	8	5	4	5	5	3	0	12	3	11	22	6	5	5
WBGene00017576	IV;IV;IV;IV;IV;IV;IV;IV	339629;339629;339629;339629;339629;339629;339629;339629	339807;339807;339807;339807;339807;339807;339807;339807	+;+;+;+;+;+;+;+	179	0	0	0	0	0	0	1	1	2	0	0	1	0	1
WBGene00022048	IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV	363823;363823;363823;363976;364209;364209;364209;376013;376013;376013;376013;376013;376013;376013;376013;376013;376013	363879;363879;363873;364128;364307;364307;364339;376062;376062;376062;376062;376062;376062;376062;376062;376062;376062	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	391	272	382	241	234	302	320	221	115	122	104	100	80	72	90
WBGene00004981	IV	383180	383185	-	6	1	2	2	0	0	0	0	1	0	0	0	0	0	0
WBGene00004493	IV;IV;IV;IV	385894;385894;385894;385894	385908;385908;385908;385908	+;+;+;+	15	1377	2368	1630	1354	1309	1488	1075	1249	1620	1369	1658	994	1188	1123
WBGene00020300	IV;IV;IV	388084;388084;388177	388091;388091;388229	+;+;+	61	11	15	27	16	15	27	17	18	14	30	14	8	12	4
WBGene00001338	IV	390415	390468	-	54	2	3	1	0	2	0	4	0	1	1	0	0	1	0
WBGene00020298	IV	390512	390605	+	94	6	3	4	2	6	9	2	4	5	6	5	4	7	3
WBGene00045249	IV	393490	393546	-	57	11	23	7	7	9	14	12	11	6	16	7	10	12	7
WBGene00020297	IV;IV;IV;IV	393880;394017;394017;394017	393938;394054;394054;394054	+;+;+;+	97	180	252	167	184	180	243	179	195	285	214	199	192	281	199
WBGene00001666	IV	401695	401733	+	39	0	1	0	0	4	2	1	0	0	1	2	1	1	1
WBGene00002187	IV;IV	408887;409957	408896;410033	-;-	87	16	31	23	14	23	23	27	17	10	7	17	25	17	17
WBGene00020299	IV;IV	410831;414241	410995;414249	+;+	174	11	10	7	6	7	5	0	7	5	9	6	5	3	9
WBGene00001332	IV;IV;IV;IV;IV;IV;IV;IV;IV;IV	418532;418532;419123;419123;419280;419280;419617;419617;419952;419952	418591;418591;419225;419225;419399;419399;419695;419695;419958;419958	-;-;-;-;-;-;-;-;-;-	369	33	66	48	37	53	77	42	41	33	27	36	27	28	25
WBGene00000913	IV	425149	425181	-	33	7	5	5	1	3	3	5	1	7	2	1	7	3	5
WBGene00022046	IV;IV	425972;426168	426169;426169	+;+	198	0	0	1	0	0	3	0	0	0	0	0	0	1	0
WBGene00022047	IV	429009	429133	-	125	26	12	14	9	0	0	0	20	19	12	18	22	13	13
WBGene00002041	IV;IV;IV	440545;440545;440545	440554;440554;440554	-;-;-	10	9	5	7	4	2	2	2	1	2	0	3	3	3	3
WBGene00022044	IV;IV	445677;448090	445682;448090	+;+	7	11	8	8	14	8	3	1	8	11	9	8	4	5	4
WBGene00019773	IV	460448	460549	-	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00019774	IV;IV	463873;481154	463879;481167	-;-	21	0	2	1	0	0	2	0	0	2	3	0	1	0	0
WBGene00021011	IV	506485	506600	-	116	0	0	1	0	0	0	0	0	2	0	0	0	0	0
WBGene00021012	IV;IV;IV;IV;IV	517610;517610;517610;517610;519457	517628;517628;517628;517628;519457	-;-;-;-;-	20	2	12	4	5	4	10	10	2	3	1	2	1	3	1
WBGene00000213	IV	523740	523809	-	70	0	0	0	0	0	0	0	0	0	0	0	2	1	0
WBGene00021010	IV	524652	524696	+	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00001165	IV	559234	559237	+	4	0	0	2	0	0	0	0	1	0	0	0	0	0	0
WBGene00018925	IV;IV;IV	570835;570835;570835	570875;570844;570844	-;-;-	41	1	2	3	1	2	1	2	1	1	0	1	0	1	1
WBGene00001579	IV;IV	572723;572769	572775;572775	+;+	53	3	0	0	3	1	3	2	4	0	0	2	1	0	1
WBGene00018926	IV	582162	582230	-	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00189987	IV	587814	587829	-	16	0	1	0	0	1	0	0	0	1	2	0	0	0	0
WBGene00015996	IV	592447	592485	-	39	0	0	0	0	0	0	0	0	0	0	0	0	1	0
WBGene00015994	IV;IV	593329;593441	593394;593476	+;+	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00015997	IV;IV;IV	596302;596302;596353	596305;596305;596419	-;-;-	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00044457	IV	596864	596904	+	41	1	1	1	2	2	1	0	1	3	1	8	2	2	2
WBGene00002140	IV;IV;IV	606355;606355;606355	606443;606443;606443	+;+;+	89	1	2	3	3	1	6	8	0	3	0	0	0	1	4
WBGene00015993	IV	615544	615594	+	51	25	38	15	22	51	33	17	34	38	33	29	15	17	25
WBGene00015497	IV	627537	627549	+	13	0	0	0	0	1	0	0	0	0	0	0	0	0	0
WBGene00019665	IV	649665	649665	+	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1
WBGene00019658	IV	653403	653421	-	19	5	4	7	1	4	4	1	6	4	4	4	7	12	2
WBGene00004427	IV	654572	654576	-	5	716	1180	796	621	689	876	512	537	629	659	518	731	753	763
WBGene00019664	IV;IV;IV;IV;IV	655353;655390;657339;657865;658337	655396;655396;657371;658018;658340	+;+;+;+;+	235	132	207	135	153	116	147	170	107	74	82	75	69	65	74
WBGene00019662	IV;IV	667291;667291	667353;667353	+;+	63	0	1	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00044723	IV	670366	670555	-	190	0	0	0	0	0	0	0	0	0	1	0	1	0	0
WBGene00019660	IV	675874	675883	-	10	35	49	37	43	19	13	14	2	0	1	1	2	0	0
WBGene00044458	IV	676075	676365	+	291	34	45	18	22	22	18	20	6	4	5	4	3	6	4
WBGene00018256	IV	684497	684504	+	8	0	2	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00021950	IV;IV	707710;707710	707719;707719	-;-	10	0	0	1	1	3	1	0	1	0	0	0	1	0	0
WBGene00044459	IV	727408	727414	-	7	2	0	0	0	2	1	0	5	0	0	0	0	2	1
WBGene00021948	IV;IV;IV;IV;IV;IV;IV	736675;742083;742129;748460;748460;748460;748460	736746;742309;742309;748706;748706;748706;748706	+;+;+;+;+;+;+	546	28	42	33	30	26	45	29	45	31	52	30	32	36	28
WBGene00001788	IV	760610	760617	+	8	3	7	2	7	11	5	2	8	5	7	7	6	3	10
WBGene00000677	IV	763665	763680	-	16	19	21	30	26	30	27	31	18	19	35	13	21	20	16
WBGene00018928	IV	768408	768584	-	177	0	0	3	6	1	1	6	4	2	1	3	2	1	1
WBGene00018932	IV	773228	773236	+	9	2	2	0	4	0	6	1	0	1	3	1	3	2	3
WBGene00004824	IV;IV;IV;IV	794274;794274;794274;794274	794275;794326;794275;794326	-;-;-;-	53	1	0	3	2	0	2	2	2	0	2	1	5	3	5
WBGene00018930	IV	788055	788125	+	71	0	3	0	1	0	0	0	0	0	0	1	0	2	0
WBGene00018935	IV;IV	795407;795676	795433;795689	-;-	41	8	13	6	5	7	11	12	10	3	7	7	15	14	17
WBGene00018934	IV;IV	796563;796563	796565;796567	-;-	5	3	5	4	2	3	8	0	0	0	14	3	1	0	5
WBGene00001154	IV	797023	797023	+	1	1	0	2	0	0	0	0	0	1	1	0	1	0	0
WBGene00185088	IV	805102	805132	+	31	0	2	0	2	5	3	0	2	5	1	1	1	2	0
WBGene00021936	IV	824942	824954	-	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00021942	IV	831805	831806	-	2	0	1	0	0	0	0	0	3	0	0	0	0	0	0
WBGene00044742	IV	832362	832435	+	74	1	5	1	2	4	0	0	0	0	0	3	2	6	1
WBGene00021943	IV;IV;IV;IV;IV	838471;838471;841809;841953;842119	838489;838617;841900;842126;842126	-;-;-;-;-	413	12	20	14	7	9	14	9	8	12	14	10	11	11	14
WBGene00021945	IV;IV	854375;854698	854378;854780	-;-	87	2	4	3	7	4	4	0	0	2	1	2	1	1	2
WBGene00044757	IV	855673	855724	+	52	3	2	0	0	1	3	1	1	2	2	3	1	0	1
WBGene00021939	IV;IV;IV;IV	857327;858930;858930;862099	857372;858931;858931;862179	+;+;+;+	129	1	1	2	1	1	2	3	0	0	1	0	2	0	0
WBGene00021938	IV	874791	874981	+	191	2	3	0	4	5	3	1	1	2	3	10	1	3	2
WBGene00007007	IV;IV;IV;IV	885346;885346;886442;886496	885421;885421;886562;886562	+;+;+;+	197	53	69	56	55	33	53	27	45	66	42	44	26	25	46
WBGene00019068	IV	945604	945653	-	50	1	1	3	1	0	1	2	3	4	1	1	1	6	2
WBGene00004047	IV;IV	959452;959452	959520;959520	+;+	69	0	0	1	6	5	2	5	1	4	3	1	2	1	2
WBGene00043705	IV;IV;IV;IV;IV;IV;IV;IV	988389;988389;989300;989300;989421;989421;990440;990440	988456;988456;989370;989370;989580;989580;990521;990521	-;-;-;-;-;-;-;-	381	5	10	5	6	8	8	6	6	1	4	2	4	1	2
WBGene00002278	IV;IV;IV;IV	992240;992240;992289;992289	992291;992291;992291;992291	+;+;+;+	52	0	2	0	0	1	0	0	0	0	0	0	1	0	0
WBGene00021923	IV	999214	999229	+	16	1	2	0	2	2	3	0	5	0	3	3	0	1	0
WBGene00021925	IV;IV;IV;IV	1004905;1005265;1005768;1005857	1004913;1005268;1005864;1005864	-;-;-;-	110	20	39	21	17	14	26	21	19	13	23	12	16	9	20
WBGene00021926	IV;IV	1007705;1009662	1007730;1009734	-;-	99	17	28	20	10	13	16	19	9	7	12	7	21	3	10
WBGene00021922	IV;IV	1010054;1012133	1010511;1012140	+;+	466	27	74	34	45	41	39	46	19	35	20	27	36	31	43
WBGene00021921	IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV	1012624;1012624;1012704;1012908;1012908;1013075;1013332;1014235;1014237;1015443;1015443;1015443	1012787;1012850;1012850;1012957;1012957;1013140;1013526;1014331;1014331;1015474;1015474;1015474	+;+;+;+;+;+;+;+;+;+;+;+	667	52	85	55	51	56	38	50	32	29	27	22	34	36	51
WBGene00021927	IV	1030017	1030024	-	8	1	18	11	11	2	5	33	3	7	3	3	8	13	5
WBGene00005903	IV	1045983	1046031	+	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00219399	IV;IV;IV;IV;IV	1049922;1049922;1050759;1050859;1051051	1049956;1049956;1050846;1050998;1051215	-;-;-;-;-	428	10	10	4	1	3	5	4	0	1	1	3	2	0	0
WBGene00021929	IV	1054787	1054794	-	8	2	1	1	0	1	0	1	2	1	1	2	2	0	1
WBGene00021930	IV	1056301	1056313	-	13	19	33	17	22	16	15	10	8	10	12	8	9	9	7
WBGene00021920	IV;IV	1056890;1056892	1056904;1056904	+;+	15	3	13	6	11	4	5	2	3	3	6	5	5	2	4
WBGene00021931	IV;IV;IV	1063179;1063179;1067482	1063185;1063187;1067525	-;-;-	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00000816	IV	1087008	1087013	-	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00021934	IV	1093914	1093920	-	7	6	3	5	10	4	6	3	6	2	2	4	3	5	8
WBGene00021933	IV	1094545	1094549	+	5	2	2	1	0	1	1	0	0	4	1	1	1	0	1
WBGene00021932	IV;IV	1097453;1097453	1097461;1097461	+;+	9	2	1	1	0	6	6	0	0	0	2	2	2	2	0
WBGene00003893	IV;IV;IV;IV;IV;IV;IV;IV	1107396;1107435;1107559;1107561;1107649;1108812;1108813;1108816	1107448;1107511;1107633;1107633;1107651;1108937;1108937;1108937	+;+;+;+;+;+;+;+	320	569	913	601	526	1331	1603	2124	219	237	163	186	440	395	501
WBGene00016638	IV	1125086	1125107	-	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00016636	IV	1126790	1126800	+	11	0	0	0	0	1	0	0	0	0	0	0	0	0	0
WBGene00016639	IV;IV	1132201;1136759	1132235;1136947	-;-	224	0	0	1	0	0	0	0	0	0	0	0	0	2	0
WBGene00016797	IV;IV	1149892;1150560	1149903;1150736	-;-	189	5	1	1	1	3	2	1	0	1	2	0	3	1	2
WBGene00016798	IV	1160483	1160484	-	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00016796	IV;IV;IV;IV;IV;IV;IV;IV	1170672;1171762;1171762;1173174;1173174;1174637;1174637;1176436	1170709;1172278;1172278;1173442;1173442;1174652;1174970;1176480	+;+;+;+;+;+;+;+	1203	67	112	71	76	76	74	92	76	98	64	95	103	87	107
WBGene00022426	IV	1178022	1178038	+	17	3	4	3	4	3	4	2	2	3	1	10	8	1	3
WBGene00022428	IV	1182592	1182974	+	383	13	26	21	14	18	14	13	18	27	14	23	13	18	19
WBGene00007020	IV;IV	1187799;1190899	1187816;1190936	+;+	56	11	18	14	12	17	11	12	9	12	11	11	11	16	18
WBGene00022427	IV	1193065	1193075	+	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00001104	IV	1204962	1204970	-	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00001103	IV	1208069	1208102	-	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00021123	IV	1216590	1216626	+	37	6	9	7	5	4	2	8	1	8	7	10	7	2	5
WBGene00044463	IV	1221149	1221287	-	139	0	0	0	0	0	0	1	0	0	0	0	0	0	0
WBGene00021121	IV	1229080	1229110	+	31	1	1	1	0	4	0	0	0	0	0	1	0	0	0
WBGene00009521	IV	1239785	1239852	-	68	8	2	0	0	5	2	1	3	2	4	5	2	2	3
WBGene00044908	IV	1243080	1243402	-	323	0	0	0	0	1	0	0	0	0	0	0	0	0	0
WBGene00009523	IV	1246873	1246886	-	14	0	0	0	1	0	0	0	0	0	1	0	0	0	0
WBGene00009518	IV	1251341	1251366	-	26	0	0	0	0	0	0	0	0	3	0	0	0	0	0
WBGene00009520	IV	1256956	1256968	+	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00009526	IV	1261272	1261325	+	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00009515	IV	1266866	1266875	+	10	0	0	0	0	0	0	0	1	0	0	0	0	0	0
WBGene00007476	IV;IV;IV	1275865;1275897;1276252	1275933;1275933;1276664	+;+;+	482	42	99	54	52	70	72	78	65	51	45	66	82	57	72
WBGene00022425	IV;IV	1289627;1289627	1289689;1289689	+;+	63	49	84	65	58	63	55	63	39	38	34	39	29	22	25
WBGene00018776	IV;IV	1299346;1309645	1299355;1309652	-;-	18	12	17	16	15	12	23	16	8	6	6	3	20	23	13
WBGene00018778	IV;IV;IV	1310166;1310568;1310598	1310223;1310634;1310634	+;+;+	125	11	12	17	15	14	16	9	7	7	8	11	15	14	12
WBGene00018777	IV;IV	1329162;1338304	1329162;1338408	+;+	106	0	0	1	0	2	0	0	0	0	0	3	0	1	1
WBGene00004338	IV	1347316	1347317	+	2	1	0	0	1	5	0	0	2	1	0	1	0	0	2
WBGene00000678	IV	1355296	1355305	-	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00022423	IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV	1386045;1386215;1386215;1386215;1387842;1387842;1387842;1387843;1387843;1387843;1388014;1388014;1388014;1388014;1388014;1388014;1388608;1388608;1388608;1388608;1393881;1393881;1393881	1386162;1386291;1386291;1386291;1387960;1387960;1387960;1387960;1387960;1387960;1388150;1388150;1388150;1388096;1388096;1388150;1388703;1388703;1388655;1388655;1393898;1393898;1393898	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	565	14	20	12	14	20	15	12	11	10	12	10	11	16	12
WBGene00022314	IV;IV;IV;IV;IV	1406542;1406552;1406664;1407468;1407481	1406566;1406572;1406794;1407485;1407485	+;+;+;+;+	180	55	103	73	72	50	50	49	53	89	47	52	53	77	110
WBGene00022309	IV;IV;IV;IV	1408797;1408865;1409839;1410038	1408831;1408867;1409976;1410041	-;-;-;-	180	54	60	66	48	42	67	14	55	55	61	51	53	33	34
WBGene00022310	IV;IV;IV;IV	1419846;1419846;1419846;1419846	1419847;1419847;1419846;1419846	-;-;-;-	2	1	1	0	0	1	1	0	0	1	0	0	1	1	0
WBGene00002180	IV	1420929	1420987	+	59	0	3	0	0	1	0	0	3	1	1	0	0	0	0
WBGene00022311	IV;IV	1424448;1424951	1424524;1425062	-;-	189	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00235267	IV	1430344	1430367	-	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00000546	IV	1434985	1435039	-	55	0	0	0	0	0	1	0	0	0	0	0	0	0	0
WBGene00000547	IV;IV	1445967;1445967	1446182;1445993	-;-	216	1	0	1	0	1	2	1	0	4	0	3	1	2	1
WBGene00022307	IV	1457075	1457083	+	9	3	2	0	2	7	0	1	1	0	1	0	2	1	1
WBGene00022313	IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV	1462797;1462797;1463999;1463999;1464892;1464892;1466035;1466035;1466270;1466270;1466382;1466382;1466382;1468633;1468633;1468633;1468633;1472514;1472514;1475094	1462810;1462810;1464353;1464353;1465538;1465538;1466214;1466214;1466382;1466382;1466382;1466382;1466382;1468698;1468696;1468698;1468696;1472609;1472609;1475109	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1487	45	100	65	61	72	86	115	116	77	113	101	82	69	71
WBGene00044464	IV;IV	1485286;1485422	1485373;1485480	+;+	147	0	0	0	0	0	1	0	1	2	0	3	1	0	0
WBGene00003806	IV;IV	1496008;1496008	1496020;1496022	-;-	15	4	7	3	4	6	3	2	3	1	1	3	1	2	2
WBGene00022306	IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV;IV	1497630;1499862;1499862;1500838;1502167;1502167;1502170;1502170;1502171;1502310;1502310;1502311;1502311;1502311;1503410;1503410;1503411;1503411;1503411;1503411;1503411;1506104;1506105;1506105	1497675;1499875;1499875;1500984;1502246;1502246;1502240;1502240;1502246;1502450;1502450;1502450;1502450;1502450;1503507;1503437;1503520;1503520;1503437;1503437;1503437;1506183;1506183;1506183	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	619	496	770	542	482	509	523	365	442	424	405	476	398	335	339
WBGene00019368	IV	1510546	1510563	+	18	0	0	0	0	0	0	0	4	4	3	1	2	7	0
WBGene00044719	IV	1516626	1516627	-	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00019367	IV	1523718	1523807	+	90	0	0	0	0	0	0	0	0	0	0	0	0	0	1
WBGene00016427	IV;IV;IV;IV;IV;IV;IV;IV	1545783;1546397;1546966;1547077;1549747;1550226;1550226;1566113	1545846;1546560;1546993;1547192;1549890;1550231;1550241;1566192	-;-;-;-;-;-;-;-	612	42	49	36	36	46	44	51	32	16	27	15	28	28	21
WBGene00000681	IV	1548721	1548733	+	13	98	92	91	86	96	124	109	105	104	118	89	125	94	99
WBGene00044073	IV;IV	1550878;1550929	1550946;1550946	+;+	69	19	20	12	12	0	1	0	2	5	0	1	0	1	0
WBGene00016425	IV	1553752	1553824	+	73	0	3	0	2	0	0	0	1	0	0	3	0	1	0
WBGene00016424	IV;IV	1555579;1557110	1555579;1557137	+;+	29	21	22	14	28	24	19	14	24	13	23	30	8	5	7
WBGene00021519	IV	1560104	1560233	+	130	4	1	1	4	14	1	2	5	3	2	1	1	0	0
WBGene00021518	IV	1562184	1562232	+	49	23	23	16	10	13	9	4	3	2	2	1	1	1	2
WBGene00021517	IV	1564081	1564103	+	23	2	2	0	1	1	4	0	1	0	0	2	0	0	0
WBGene00003794	IV;IV	1595806;1595806	1595824;1595824	-;-	19	0	0	0	0	0	0	0	0	0	0	1	0	0	0
WBGene00021516	IV	1577087	1577199	+	113	1	0	1	1	1	4	7	3	2	0	1	3	3	0
WBGene00000416	IV;IV;IV	1597316;1600178;1601248	1597319;1600260;1601279	+;+;+	119	33	37	31	20	32	29	36	20	14	16	15	6	16	18
WBGene00021515	IV;IV	1602985;1602985	1603190;1602987	+;+	206	24	17	24	20	21	20	11	19	14	10	12	6	13	8
WBGene00021514	IV	1608537	1608615	+	79	22	39	29	18	28	31	21	15	22	15	19	26	19	23
WBGene00001105	IV;IV;IV;IV;IV	1610236;1610358;1610462;1610863;1610867	1610240;1610456;1610500;1610976;1610976	+;+;+;+;+	257	0	0	2	0	1	0	0	2	0	0	0	2	1	1
WBGene00003712	IV	1613897	1613916	+	20	5	13	5	8	11	5	6	13	1	2	7	4	2	5
WBGene00021521	IV;IV	1618946;1618993	1618946;1619285	-;-	294	0	0	0	0	0	0	1	1	1	0	0	0	0	0
WBGene00003682	IV	1620094	1620198	+	105	2	3	3	1	2	1	0	3	1	2	3	5	6	2
WBGene00003677	IV	1624064	1624074	+	11	3	3	2	1	1	0	0	1	1	0	1	0	2	2
WBGene00045255	IV	1626973	1627233	+	261	12	16	13	11	13	8	9	25	26	47	19	9	12	9
WBGene00021525	IV	1631951	1631978	+	28	0	0	0	0	0	0	0	0	0	0	0	0	0	3
WBGene00021513	IV	1633772	1633799	+	28	0	0	1	0	0	0	0	0	0	0	0	0	0	0
WBGene00021522	IV	1645252	1645290	-	39	18	31	15	19	8	15	26	20	9	15	11	20	18	30
WBGene00004497	IV	1659691	1659703	+	13	1395	2242	1537	1409	1368	1295	575	1453	1660	1596	1807	970	897	847
WBGene00021512	IV;IV	1660112;1660112	1660114;1660114	+;+	3	0	0	1	0	0	2	3	2	1	0	0	1	1	1
WBGene00019538	IV	1707296	1707296	+	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
