Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note,rep
B05,SYBR,elt-2,Unkn,ELT2rnai-N2,,24.8175222,24.8175222,0,NaN,NaN,NaN,0,63.3,,2
B06,SYBR,elt-2,Unkn,ELT2rnai-N2,,24.92508563,24.92508563,0,NaN,NaN,NaN,0,63.3,,2
B07,SYBR,elt-2,Unkn,ELT2rnai-N2,,27.49702231,27.49702231,0,NaN,NaN,NaN,0,63.3,,3
B08,SYBR,elt-2,Unkn,ELT2rnai-N2,,27.39301184,27.39301184,0,NaN,NaN,NaN,0,63.3,,3
B09,SYBR,elt-2,Unkn,ELT2rnai-N2,,27.3497756,27.3497756,0,NaN,NaN,NaN,0,63.3,,3
B10,SYBR,elt-2,Unkn,ELT2rnai-N2,,22.58793391,22.58793391,0,NaN,NaN,NaN,0,63.3,,4
B11,SYBR,elt-2,Unkn,ELT2rnai-N2,,22.59921311,22.59921311,0,NaN,NaN,NaN,0,63.3,,4
B12,SYBR,elt-2,Unkn,ELT2rnai-N2,,26.20977189,26.20977189,0,NaN,NaN,NaN,0,63.3,,4
C01,SYBR,elt-2,Unkn,L4440rnai-elt7,,27.07407464,27.07407464,0,NaN,NaN,NaN,0,63.3,,1
C02,SYBR,elt-2,Unkn,L4440rnai-elt7,,26.60796985,26.60796985,0,NaN,NaN,NaN,0,63.3,,1
C03,SYBR,elt-2,Unkn,L4440rnai-elt7,,25.59425878,25.59425878,0,NaN,NaN,NaN,0,63.3,,1
C04,SYBR,elt-2,Unkn,L4440rnai-elt7,,25.86216352,25.86216352,0,NaN,NaN,NaN,0,63.3,,2
C05,SYBR,elt-2,Unkn,L4440rnai-elt7,,26.52078738,26.52078738,0,NaN,NaN,NaN,0,63.3,,2
C06,SYBR,elt-2,Unkn,L4440rnai-elt7,,26.03728058,26.03728058,0,NaN,NaN,NaN,0,63.3,,2
C07,SYBR,elt-2,Unkn,L4440rnai-elt7,,27.4944979,27.4944979,0,NaN,NaN,NaN,0,63.3,,3
C08,SYBR,elt-2,Unkn,L4440rnai-elt7,,27.75450561,27.75450561,0,NaN,NaN,NaN,0,63.3,,3
C09,SYBR,elt-2,Unkn,L4440rnai-elt7,,28.07024558,28.07024558,0,NaN,NaN,NaN,0,63.3,,3
C10,SYBR,elt-2,Unkn,L4440rnai-elt7,,23.63170602,23.63170602,0,NaN,NaN,NaN,0,63.3,,4
C11,SYBR,elt-2,Unkn,L4440rnai-elt7,,24.15665052,24.15665052,0,NaN,NaN,NaN,0,63.3,,4
C12,SYBR,elt-2,Unkn,L4440rnai-elt7,,27.79329124,27.79329124,0,NaN,NaN,NaN,0,63.3,,4
D01,SYBR,elt-2,Unkn,ELT2rnai-elt7,,24.66836022,24.66836022,0,NaN,NaN,NaN,0,63.3,,1
D02,SYBR,elt-2,Unkn,ELT2rnai-elt7,,24.46126679,24.46126679,0,NaN,NaN,NaN,0,63.3,,1
D03,SYBR,elt-2,Unkn,ELT2rnai-elt7,,24.41824974,24.41824974,0,NaN,NaN,NaN,0,63.3,,1
D04,SYBR,elt-2,Unkn,ELT2rnai-elt7,,25.9476273,25.9476273,0,NaN,NaN,NaN,0,63.3,,2
D05,SYBR,elt-2,Unkn,ELT2rnai-elt7,,25.71415445,25.71415445,0,NaN,NaN,NaN,0,63.3,,2
D06,SYBR,elt-2,Unkn,ELT2rnai-elt7,,26.00227303,26.00227303,0,NaN,NaN,NaN,0,63.3,,2
D07,SYBR,elt-2,Unkn,ELT2rnai-elt7,,27.12145423,27.12145423,0,NaN,NaN,NaN,0,63.3,,3
D08,SYBR,elt-2,Unkn,ELT2rnai-elt7,,26.61121877,26.61121877,0,NaN,NaN,NaN,0,63.3,,3
D09,SYBR,elt-2,Unkn,ELT2rnai-elt7,,26.4155796,26.4155796,0,NaN,NaN,NaN,0,63.3,,3
D10,SYBR,elt-2,Unkn,ELT2rnai-elt7,,22.61501748,22.61501748,0,NaN,NaN,NaN,0,63.3,,4
D11,SYBR,elt-2,Unkn,ELT2rnai-elt7,,22.71942132,22.71942132,0,NaN,NaN,NaN,0,63.3,,4
D12,SYBR,elt-2,Unkn,ELT2rnai-elt7,,23.57268306,23.57268306,0,NaN,NaN,NaN,0,63.3,,4
E01,SYBR,act-1,Unkn,L4440rnai-N2,,18.10597843,18.10597843,0,NaN,NaN,NaN,0,63.3,,1
E02,SYBR,act-1,Unkn,L4440rnai-N2,,18.01850531,18.01850531,0,NaN,NaN,NaN,0,63.3,,1
E03,SYBR,act-1,Unkn,L4440rnai-N2,,18.11453689,18.11453689,0,NaN,NaN,NaN,0,63.3,,1
E04,SYBR,act-1,Unkn,L4440rnai-N2,,18.16496092,18.16496092,0,NaN,NaN,NaN,0,63.3,,2
E05,SYBR,act-1,Unkn,L4440rnai-N2,,18.31225373,18.31225373,0,NaN,NaN,NaN,0,63.3,,2
E06,SYBR,act-1,Unkn,L4440rnai-N2,,18.39788348,18.39788348,0,NaN,NaN,NaN,0,63.3,,2
E07,SYBR,act-1,Unkn,L4440rnai-N2,,21.94893604,21.94893604,0,NaN,NaN,NaN,0,63.3,,3
E08,SYBR,act-1,Unkn,L4440rnai-N2,,22.15024634,22.15024634,0,NaN,NaN,NaN,0,63.3,,3
E09,SYBR,act-1,Unkn,L4440rnai-N2,,22.37283344,22.37283344,0,NaN,NaN,NaN,0,63.3,,3
E10,SYBR,act-1,Unkn,L4440rnai-N2,,14.93149914,14.93149914,0,NaN,NaN,NaN,0,63.3,,4
E11,SYBR,act-1,Unkn,L4440rnai-N2,,15.03224106,15.03224106,0,NaN,NaN,NaN,0,63.3,,4
E12,SYBR,act-1,Unkn,L4440rnai-N2,,15.20890692,15.20890692,0,NaN,NaN,NaN,0,63.3,,4
F01,SYBR,act-1,Unkn,ELT2rnai-N2,,18.29558213,18.29558213,0,NaN,NaN,NaN,0,63.3,,1
F02,SYBR,act-1,Unkn,ELT2rnai-N2,,18.04859667,18.04859667,0,NaN,NaN,NaN,0,63.3,,1
F03,SYBR,act-1,Unkn,ELT2rnai-N2,,18.1292019,18.1292019,0,NaN,NaN,NaN,0,63.3,,1
F04,SYBR,act-1,Unkn,ELT2rnai-N2,,17.14014656,17.14014656,0,NaN,NaN,NaN,0,63.3,,2
F05,SYBR,act-1,Unkn,ELT2rnai-N2,,17.00563222,17.00563222,0,NaN,NaN,NaN,0,63.3,,2
F06,SYBR,act-1,Unkn,ELT2rnai-N2,,17.17974972,17.17974972,0,NaN,NaN,NaN,0,63.3,,2
F07,SYBR,act-1,Unkn,ELT2rnai-N2,,22.13172573,22.13172573,0,NaN,NaN,NaN,0,63.3,,3
F08,SYBR,act-1,Unkn,ELT2rnai-N2,,22.21673897,22.21673897,0,NaN,NaN,NaN,0,63.3,,3
F09,SYBR,act-1,Unkn,ELT2rnai-N2,,22.34368829,22.34368829,0,NaN,NaN,NaN,0,63.3,,3
F10,SYBR,act-1,Unkn,ELT2rnai-N2,,14.48232418,14.48232418,0,NaN,NaN,NaN,0,63.3,,4
F11,SYBR,act-1,Unkn,ELT2rnai-N2,,14.40566775,14.40566775,0,NaN,NaN,NaN,0,63.3,,4
F12,SYBR,act-1,Unkn,ELT2rnai-N2,,14.51411354,14.51411354,0,NaN,NaN,NaN,0,63.3,,4
G01,SYBR,act-1,Unkn,L4440rnai-elt7,,18.14131607,18.14131607,0,NaN,NaN,NaN,0,63.3,,1
G02,SYBR,act-1,Unkn,L4440rnai-elt7,,17.73593139,17.73593139,0,NaN,NaN,NaN,0,63.3,,1
G03,SYBR,act-1,Unkn,L4440rnai-elt7,,17.45520201,17.45520201,0,NaN,NaN,NaN,0,63.3,,1
G04,SYBR,act-1,Unkn,L4440rnai-elt7,,18.31090639,18.31090639,0,NaN,NaN,NaN,0,63.3,,2
G05,SYBR,act-1,Unkn,L4440rnai-elt7,,18.20100802,18.20100802,0,NaN,NaN,NaN,0,63.3,,2
G06,SYBR,act-1,Unkn,L4440rnai-elt7,,18.20229086,18.20229086,0,NaN,NaN,NaN,0,63.3,,2
G07,SYBR,act-1,Unkn,L4440rnai-elt7,,20.15200783,20.15200783,0,NaN,NaN,NaN,0,63.3,,3
G08,SYBR,act-1,Unkn,L4440rnai-elt7,,20.18722164,20.18722164,0,NaN,NaN,NaN,0,63.3,,3
G09,SYBR,act-1,Unkn,L4440rnai-elt7,,20.0329088,20.0329088,0,NaN,NaN,NaN,0,63.3,,3
G10,SYBR,act-1,Unkn,L4440rnai-elt7,,14.91323971,14.91323971,0,NaN,NaN,NaN,0,63.3,,4
G11,SYBR,act-1,Unkn,L4440rnai-elt7,,14.62270558,14.62270558,0,NaN,NaN,NaN,0,63.3,,4
G12,SYBR,act-1,Unkn,L4440rnai-elt7,,14.81166433,14.81166433,0,NaN,NaN,NaN,0,63.3,,4
H01,SYBR,act-1,Unkn,ELT2rnai-elt7,,19.40889016,19.40889016,0,NaN,NaN,NaN,0,63.3,,1
H02,SYBR,act-1,Unkn,ELT2rnai-elt7,,19.09034767,19.09034767,0,NaN,NaN,NaN,0,63.3,,1
H03,SYBR,act-1,Unkn,ELT2rnai-elt7,,18.97282204,18.97282204,0,NaN,NaN,NaN,0,63.3,,1
H04,SYBR,act-1,Unkn,ELT2rnai-elt7,,18.6793325,18.6793325,0,NaN,NaN,NaN,0,63.3,,2
H05,SYBR,act-1,Unkn,ELT2rnai-elt7,,18.72792894,18.72792894,0,NaN,NaN,NaN,0,63.3,,2
H06,SYBR,act-1,Unkn,ELT2rnai-elt7,,18.80548442,18.80548442,0,NaN,NaN,NaN,0,63.3,,2
H07,SYBR,act-1,Unkn,ELT2rnai-elt7,,21.50060008,21.50060008,0,NaN,NaN,NaN,0,63.3,,3
H08,SYBR,act-1,Unkn,ELT2rnai-elt7,,21.67203515,21.67203515,0,NaN,NaN,NaN,0,63.3,,3
H09,SYBR,act-1,Unkn,ELT2rnai-elt7,,21.33123292,21.33123292,0,NaN,NaN,NaN,0,63.3,,3
H10,SYBR,act-1,Unkn,ELT2rnai-elt7,,14.88552577,14.88552577,0,NaN,NaN,NaN,0,63.3,,4
H11,SYBR,act-1,Unkn,ELT2rnai-elt7,,15.10531705,15.10531705,0,NaN,NaN,NaN,0,63.3,,4
H12,SYBR,act-1,Unkn,ELT2rnai-elt7,,14.79129909,14.79129909,0,NaN,NaN,NaN,0,63.3,,4
